COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
STEEL BATTALION: LINE,1,0,1,0,STEEL BATTALION,,CAPCOM USA,CAPCOM,SHOOTER,MECHANIZED SHOOTER,2004-02-01,2004,2,T,YES,75.90000153,49.00,22.72713,4.504123,0,3,1,8,11402,0.553601,0.928584967,46.00,12957,0.596177
STITCH:EXPERIMENT 626,1,0,0,1,,LILO AND STITCH,SONY,HIGH VOLTAGE SOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,2002-06-01,2002,6,E,NO,63.40000153,41.00,0,0,0,14,0,10,106760,4.256294,0.90431054,39.00,121414,4.706673
STREET FIGHTER ANNIVERSARY COLLE,1,0,0,1,STREET FIGHTER,STREET FIGHTER,CAPCOM USA,CAPCOM,FIGHTING,FIGHT/HEAD TO HEAD,2004-09-01,2004,9,T,NO,79.59999847,30.00,5.041305,5.041305,0,17,1,26,178521,5.292118,0.766998078,30.00,233873,6.89978
STREET FIGHTER EX3,1,0,0,1,STREET FIGHTER,STREET FIGHTER,CAPCOM USA,ARIKA,FIGHTING,FIGHT/HEAD TO HEAD,2000-10-01,2000,10,T,NO,68.80000305,44.00,0,0,0,3,0,0,126684,5.041305,0.618941636,31.00,260736,8.145041
STREET HOOPS,3,1,1,1,,,ACTIVISION,BLACK OPS ENTERTAINMENT,SPORTS,BASKETBALL,2002-08-01,2002,8,T,NO,60.33333206,48.67,0,0,0,24,0,9,479742,20.37858225,0.893415571,33.33,599456,22.809746
STREET RACING SYNDICATE,3,1,1,1,,,NAMCO,EUTECHNYX,RACING,ACTION ORIENTED RACING,2004-09-01,2004,9,T,NO,67.3666687,49.00,0,0,0,27,0,124,295562,14.54579,0.86012242,46.33,359342,16.911302
STRETCH PANIC,1,0,0,1,,,CONSPIRACY,TREASURE,ACTION,PLATFORM/SCROLLING CHARACTER,2001-08-01,2001,8,T,NO,60.90000153,31.00,0,0,0,8,0,1,11356,0.267628656,0.76470137,19.00,18572,0.349978
STRIKE FORCE BOWLING,2,0,1,1,,,CRAVE,LAB RATS GAMES,SPORTS,BOWLING,2004-05-01,2004,5,E,NO,54.85000038,13.00,0,0,0,0,0,1,145129,1.574135,0.72763231,13.00,200108,2.163366
STUNT GP,1,0,0,1,,,TITUS INTERACTIVE,TEAM 17,RACING,ACTION ORIENTED RACING,2001-11-01,2001,11,E,NO,52.70000076,37.00,0,0,0,23,0,4,15629,0.288232406,0.870177597,17.00,19385,0.331234
STUNTMAN,1,0,0,1,STUNTMAN,,ATARI,REFLECTIONS INTERACTIVE,RACING,ACTION ORIENTED RACING,2002-06-01,2002,6,T,NO,74,46.00,0,0,0,15,0,28,469005,20.361584,0.898606342,38.00,601627,22.65907
SUB REBELLION,1,0,0,1,,,METRO3D,IREM SOFTWARE ENGINEERING,SHOOTER,MECHANIZED SHOOTER,2002-10-01,2002,10,T,NO,68.59999847,43.00,0,0,0,7,0,5,24713,0.872725,0.879509537,32.00,30651,0.992286
SUDEKI,1,0,1,0,,,MICROSOFT,CLIMAX GROUP,RPG,RPG,2004-07-01,2004,7,M,NO,72.5,45.00,0,0,0,8,0,14,76825,3.466418,0.894772382,39.00,98406,3.874078
SUIKODEN III,1,0,0,1,SUIKODEN,,KONAMI DIGITAL ENT.,KONAMI,RPG,RPG,2002-10-01,2002,10,T,NO,86.69999695,50.00,0,0,0,10,0,17,217130,10.078254,0.932365343,45.00,239628,10.80934
SUMMER HEAT VBALL,1,0,0,1,,,ACCLAIM,ACCLAIM STUDIOS,SPORTS,MULTIPLE/OTHER SPORTS,2003-06-01,2003,6,T,NO,67.69999695,27.00,0,0,0,3,0,5,92520,2.4262715,0.907013653,25.00,106394,2.675011
SUMMONER,1,0,0,1,SUMMONER,,THQ,VOLITION,RPG,RPG,2000-10-01,2000,10,T,NO,71.09999847,50.00,0,0,0,3,0,0,161227,7.715789,0.848015451,44.00,206139,9.098642
