COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
.HACK: INFECTION,1,0,0,1,.HACK,,BANDAI,CYBERCONNECT2,RPG,RPG,2003-02-01,2003,2,T,NO,76.59999847,42.00,0,0,2,15,0,28,341506,14.078782,0.920943866,38.00,402687,15.28734
.HACK: MUTATION,1,0,0,1,.HACK,,BANDAI,CYBERCONNECT2,RPG,RPG,2003-05-01,2003,5,T,NO,74.09999847,44.00,0,0,2,15,0,28,166288,7.1362455,0.929164999,41.00,185581,7.680278
.HACK: OUTBREAK,1,0,0,1,.HACK,,BANDAI,CYBERCONNECT2,RPG,RPG,2003-09-01,2003,9,T,NO,67.90000153,48.00,0,0,2,15,0,28,100828,4.243216,0.917429891,40.00,115461,4.625112
.HACK: QUARANTINE,1,0,0,1,.HACK,,BANDAI,CYBERCONNECT2,RPG,RPG,2004-01-01,2004,1,T,NO,65,41.00,14.078782,25.458244,0,20,3,44,67820,2.751451,0.956484482,40.00,72144,2.876629
1080 AVALANCHE,1,1,0,0,1080 SNOWBOARDING,,NINTENDO OF AMERICA,NINTENDO SOFTWARE TECHNOLOGY,SPORTS,EXTREME SPORTS,2003-12-01,2003,12,E,NO,74.59999847,49.00,0,0,0,6,0,15,114732,4.894796,0.864943246,37.00,154490,5.659095
18 WHEELER PRO TRUCKER,2,1,0,1,,,ACCLAIM,ACCLAIM STUDIOS,RACING,ACTION ORIENTED RACING,2001-11-01,2001,2,E,NO,54.39999962,43.50,0,0,0,26,0,8,134506,5.0806055,0.737927357,28.50,231684,6.884967
2002 FIFA WORLD CUP,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,2002-04-01,2002,4,E,NO,74.40000153,48.33,14.50665625,23.86729025,3,14,3,5,298020,14.32731188,0.972006515,44.67,318928,14.739934
4X4 EVO 2,2,1,1,0,4X4 EVO,,TAKE 2 INTERACTIVE,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,2001-10-01,2001,9,E,NO,58.89999962,50.00,0,0,0,6,0,4,158756,5.26494075,0.796399892,26.50,227735,6.610926
4X4 EVOLUTION,1,0,0,1,4X4 EVO,,TAKE 2 INTERACTIVE,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,2001-03-01,2001,3,E,NO,65.5,43.00,0,0,0,23,0,4,88202,3.70305,0.829205648,35.00,127078,4.46578
ACE COMBAT 4,1,0,0,1,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,2001-10-01,2001,10,E,NO,84.69999695,51.00,0,0,0,3,0,0,680201,28.238266,0.595353135,29.00,1639304,47.43112
ACE COMBAT 5: THE UNSUNG WAR,1,0,0,1,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,2004-10-01,2004,10,T,NO,84.19999695,89.00,56.476532,56.476532,2,4,2,18,341673,18.02818,0.766591536,89.00,450012,23.517322
ACTIVISION ANTHOLOGY,1,0,0,1,,,ACTIVISION,CONTRABAND ENTERTAINMENT,ARCADE,CLASSIC ARCADE,2002-11-01,2002,11,E,NO,77.59999847,30.00,0,0,0,0,0,2,138042,2.781323,0.773981168,18.00,194514,3.593528
ADV OF COOKIE & CREAM,1,0,0,1,,,AGETEC,FROMSOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,2001-04-01,2001,4,E,NO,78.30000305,32.00,0,0,0,8,0,1,45311,1.312371625,0.714461197,25.00,72381,1.836869
AERO ELITE: COMBAT,1,0,0,1,,,SEGA OF AMERICA,AM2,FLIGHT,AIR COMBAT SIMULATIONS,2003-03-01,2003,3,E,NO,65.90000153,48.00,0,0,0,2,0,6,25760,1.234244,0.924717133,46.00,28766,1.334726
AGASSI TENNIS,1,0,0,1,,PRO TENNIS,DREAMCATCHER INTERACTIVE,DREAMCATCHER,SPORTS,TENNIS,2003-08-01,2003,8,E,NO,56,20.00,0,0,0,0,0,4,32096,0.627429688,0.908571779,19.00,35575,0.690567
AGGRESSIVE INLINE,3,1,1,1,,,ACCLAIM,Z-AXIS,SPORTS,EXTREME SPORTS,2002-05-01,2002,5,T,NO,86.03333028,40.67,0,0,0,37,0,24,139559,5.033159063,0.819915692,28.33,208945,6.13863
AIRBLADE,1,0,0,1,,,NAMCO,CRITERION STUDIOS,SPORTS,EXTREME SPORTS,2002-01-01,2002,1,T,NO,72.90000153,23.00,0,0,0,16,0,14,75408,1.75795775,0.865718236,22.00,91763,2.030635
AIRFORCE DELTA STORM,1,0,1,0,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KCE STUDIOS,FLIGHT,AIR COMBAT SIMULATIONS,2001-11-01,2001,11,E,NO,66.5,50.00,0,0,0,0,0,0,63410,3.177186,0.693401245,42.00,108447,4.582031
AIRFORCE DELTA STRIKE,1,0,0,1,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KONAMI,FLIGHT,AIR COMBAT SIMULATIONS,2004-02-01,2004,2,T,NO,65.19999695,30.00,0,0,0,2,0,9,33079,0.994763,0.879435577,28.00,39947,1.131138
ALIAS,2,0,1,1,,OTHER,ACCLAIM,ACCLAIM STUDIOS,ACTION,GENERAL ACTION,2004-04-01,2004,4,T,NO,63.70000076,31.50,0,0,0,61,0,140,39330,1.237677,0.828942742,26.50,56697,1.493079
ALIEN HOMINID,2,1,0,1,,,3,THE BEHEMOTH,ACTION,PLATFORM/SCROLLING CHARACTER,2004-11-01,2004,11,T,NO,79.35000229,30.00,0,0,0,41,0,77,24060,0.715235,0.369155835,25.50,75359,1.937488
ALIENS VS PREDATOR,2,0,1,1,ALIENS VS PREDATOR,ALIENS,ELECTRONIC ARTS,ZONO,STRATEGY,REAL-TIME STRATEGY,2003-07-01,2003,7,T,NO,63.44999886,39.50,0,0,0,3,0,5,110336,4.216271375,0.895280835,37.50,125346,4.70944
ALL STAR BASEBALL 2002,2,1,0,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM,ACCLAIM STUDIOS,SPORTS,BASEBALL,2001-03-01,2001,3,E,NO,70.75,49.50,0,0,0,2,0,0,320260,14.1184305,0.945262766,39.50,361723,14.935985
ALL STAR BASEBALL 2003,3,1,1,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM,ACCLAIM STUDIOS,SPORTS,BASEBALL,2002-02-01,2002,2,E,NO,79.16666667,45.00,14.1184305,14.1184305,0,8,2,4,495486,22.77137575,0.953175687,41.00,556378,23.890009
ALL STAR BASEBALL 2004,3,1,1,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM,ACCLAIM STUDIOS,SPORTS,BASEBALL,2003-02-01,2003,2,E,NO,76.96666718,44.00,22.77137575,36.889806,0,11,5,15,264072,11.92425725,0.951825699,40.67,293544,12.527774
ALL STAR BASEBALL 2005,2,0,1,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM,ACCLAIM STUDIOS,SPORTS,BASEBALL,2004-03-01,2004,3,E,YES,74.45000076,38.00,10.17987725,39.83874,0,7,5,23,197399,7.516501,0.959914369,37.00,209914,7.830387
ALTER ECHO,2,0,1,1,,,THQ,OUTRAGE GAMES,ACTION,GENERAL ACTION,2003-08-01,2003,8,T,NO,65.40000153,26.50,0,0,0,64,0,74,52997,0.868261656,0.795401306,15.00,75748,1.091602
AMAZING ISLAND,1,1,0,0,,,SEGA OF AMERICA,HITMAKER,STRATEGY,LIFE SIMULATIONS,2004-08-01,2004,8,E,NO,58.29999924,39.00,0,0,0,1,0,4,24201,0.952941,0.826738536,35.00,33124,1.152651
AMERICAN CHOPPER,2,0,1,1,,OTHER,ACTIVISION,CREAT STUDIO,RACING,ACTION ORIENTED RACING,2004-11-01,2004,11,T,NO,47.39999962,30.00,0,0,0,24,0,98,183220,5.453334,0.556527222,28.00,345308,9.798863
AMERICAN IDOL,1,0,0,1,,AMERICAN IDOL,CODEMASTERS,HOTHOUSE CREATIONS,FAMILY,MUSIC/DANCE GAMES,2003-11-01,2003,11,E,NO,51.09999847,35.00,0,0,0,10,0,8,175320,4.5397605,0.907456991,24.00,211306,5.002728
AMF BOWLING 2004,1,0,1,0,,,BETHESDA SOFTWORKS,BLACK MARKET GAMES,SPORTS,BOWLING,2003-12-01,2003,12,E,NO,44.40000153,21.00,0,0,0,0,0,0,129449,1.664328,0.80869133,12.00,165052,2.058051
AMPED 2,1,0,1,0,AMPED,,MICROSOFT,MICROSOFT,SPORTS,EXTREME SPORTS,2003-10-01,2003,10,E,YES,82.19999695,48.00,13.538219,13.538219,0,5,1,18,130544,5.198028,0.907724805,38.00,151909,5.726436
AMPED: SNOWBOARDING,1,0,1,0,AMPED,,MICROSOFT,MICROSOFT,SPORTS,EXTREME SPORTS,2001-11-01,2001,11,E,NO,81.69999695,49.00,0,0,0,6,0,0,346011,13.538219,0.783087425,31.00,554726,17.28826
AMPLITUDE,1,0,0,1,,,SONY,HARMONIX MUSIC SYSTEMS,FAMILY,MUSIC/DANCE GAMES,2003-03-01,2003,3,T,YES,85.5,36.00,0,0,0,10,0,8,48256,1.6785955,0.826507953,31.00,65864,2.030949
ANIMAL CROSSING,1,1,0,0,,,NINTENDO OF AMERICA,NINTENDO COMPANY,STRATEGY,LIFE SIMULATIONS,2002-09-01,2002,9,E,NO,86.69999695,50.00,0,0,0,1,0,0,548450,25.599338,0.6636743,36.00,1062011,38.57214
ANTZ EXTREME RACING,2,0,1,1,ANTZ,OTHER,EMPIRE INTERACTIVE,SUPERSONIC SOFTWARE,RACING,ACTION ORIENTED RACING,2002-09-01,2002,9,E,NO,42.75,23.00,0,0,0,25,0,32,19568,0.40118175,0.82143391,20.00,24564,0.488392
APE ESCAPE 2,1,0,0,1,APE ESCAPE,,UBISOFT,SONY COMPUTER ENTERTAINMENT,ACTION,PLATFORM/SCROLLING CHARACTER,2003-06-01,2003,6,E,NO,80.80000305,34.00,0,0,0,16,0,25,89125,2.8542135,0.950010834,30.00,98688,3.004401
APE ESCAPE: PUMPED,1,0,0,1,APE ESCAPE,,UBISOFT,SONY COMPUTER ENTERTAINMENT,ACTION,PLATFORM/SCROLLING CHARACTER,2004-10-01,2004,10,T,NO,63.20000076,40.00,2.8542135,2.8542135,0,25,1,42,4314,0.17145,0.361787477,23.00,20902,0.473897
APEX,1,0,1,0,,,ATARI,MILESTONE,RACING,ACTION ORIENTED RACING,2003-02-01,2003,2,E,NO,74.5,40.00,0,0,0,20,0,15,74185,2.95542825,0.959329122,38.00,80472,3.080724
AQUA AQUA,1,0,0,1,,,THE 3DO COMPANY,ZED TWO GAME DESIGN STUDIO,FAMILY,PUZZLE GAMES,2001-01-01,2001,1,E,NO,72.69999695,24.00,0,0,0,0,0,2,23161,0.549075,0.686392655,19.00,41436,0.799943
AQUAMAN: ATLANTIS,2,1,1,0,AQUAMAN,DC COMICS SUPER HEROES,TAKE 2 INTERACTIVE,LUCKY CHICKEN GAMES,ACTION,GENERAL ACTION,2003-07-01,2003,7,T,NO,28.10000038,19.50,0,0,0,53,0,42,11136,0.19375975,0.791534581,16.00,15501,0.24479
ARC THE LAD: TWILIGHT,1,0,0,1,ARC THE LAD,,SONY,ARC ENTERTAINMENT,RPG,RPG,2003-06-01,2003,6,T,NO,74.90000153,40.00,0,0,0,15,0,28,100934,3.6716815,0.870896741,32.00,133217,4.215978
ARCTIC THUNDER,2,0,1,1,,,MIDWAY,INLAND PRODUCTIONS,RACING,COMBAT ORIENTED RACING,2001-09-01,2001,9,T,NO,49.85000038,44.00,0,0,0,6,0,1,148485,5.87548125,0.833281509,37.00,203933,7.051016
ARMED AND DANGEROUS,1,0,1,0,,,LUCASARTS,PLANET MOON STUDIOS,SHOOTER,SQUAD BASED COMBAT,2003-12-01,2003,12,T,NO,77.09999847,50.00,0,0,0,7,0,2,62092,2.10432,0.951335125,32.00,68624,2.211965
ARMORED CORE 2,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,2000-10-01,2000,10,T,NO,74.19999695,50.00,0,0,0,2,0,0,124142,6.068517,0.707026791,38.00,227795,8.58315
ARMORED CORE 3,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,2002-09-01,2002,9,T,NO,74.19999695,49.00,4.06825375,10.136771,0,7,2,5,141360,5.847519,0.874520511,38.00,174807,6.686543
ARMORED CORE: NEXUS,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,2004-09-01,2004,9,T,NO,74,50.00,5.847519,15.98429,0,1,3,16,34035,1.685951,0.764572768,49.00,45167,2.205089
ARMORED CORE2:ANOTHER,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,2001-08-01,2001,8,T,NO,73.30000305,51.00,6.068517,6.068517,0,1,1,3,79562,4.06825375,0.916614001,51.00,87797,4.43835
ARMY MEN AIR ATTACK 2,1,0,0,1,ARMY MEN,,THE 3DO COMPANY,THE 3DO COMPANY,ACTION,GENERAL ACTION,2001-03-01,2001,3,T,NO,68.59999847,37.00,0,0,2,14,0,0,43268,1.536502,0.824445626,31.00,59528,1.863679
ARMY MEN GREEN ROGUE,1,0,0,1,ARMY MEN,,THE 3DO COMPANY,THE 3DO COMPANY,ACTION,GENERAL ACTION,2001-03-01,2001,3,T,NO,37.29999924,48.00,0,0,2,14,0,0,31966,1.45327775,0.75992432,37.00,51681,1.912398
ARMY MEN SARGES HERO 2,1,0,0,1,ARMY MEN,,THE 3DO COMPANY,THE 3DO COMPANY,ACTION,GENERAL ACTION,2001-03-01,2001,3,T,NO,55.20000076,40.00,0,0,2,14,0,0,52387,2.02638325,0.84472267,34.00,70436,2.398874
ARMY MEN: RTS,2,1,0,1,ARMY MEN,,TAKE 2 INTERACTIVE,GLOBAL STAR SOFTWARE,STRATEGY,REAL-TIME STRATEGY,2002-03-01,2002,3,T,NO,65.79999924,22.50,2.17398975,5.1637695,1,3,4,3,49781,1.360517,0.865037411,22.50,63091,1.572784
ARMY MEN: SARGE'S WAR,2,1,1,0,ARMY MEN,,TAKE 2 INTERACTIVE,GLOBAL STAR SOFTWARE,ACTION,GENERAL ACTION,2004-07-01,2004,7,T,NO,52.14999962,15.50,0.1476065,0.1476065,1,36,1,97,81856,1.262312,0.75682987,15.00,110478,1.667894
ARMY MEN:ELITE MISSNS,1,1,0,0,ARMY MEN,,THE 3DO COMPANY,WIDE GAMES,ACTION,GENERAL ACTION,2003-03-01,2003,3,T,NO,48.09999847,25.00,0,0,0,20,0,18,6178,0.1476065,0.818594475,22.00,8018,0.180317
ARX FATALIS,1,0,1,0,,,DREAMCATCHER INTERACTIVE,ARKANE STUDIOS,RPG,RPG,2003-12-01,2003,12,M,NO,74,35.00,0,0,0,8,0,5,25657,0.735838,0.953571822,28.00,27431,0.771665
ASTERIX & OBELIX:KICK,1,0,0,1,,ASTERIX,ATARI,ETRANGES LIBELLULES,ACTION,PLATFORM/SCROLLING CHARACTER,2004-09-01,2004,9,E,NO,63.5,20.00,0,0,0,25,0,42,6576,0.13085,0.58753536,20.00,11275,0.22271
ASTRO BOY,1,0,0,1,,,SEGA OF AMERICA,SONIC TEAM,ACTION,PLATFORM/SCROLLING CHARACTER,2004-08-01,2004,8,E,NO,55.59999847,30.00,0,0,0,25,0,42,13583,0.404147,0.635357353,24.00,26048,0.636094
ATARI ANTHOLOGY,2,0,1,1,,,ATARI,DIGITAL ECLIPSE SOFTWARE,ARCADE,CLASSIC ARCADE,2004-11-01,2004,11,E,NO,68.54999924,19.50,0,0,0,4,0,7,174641,3.350386,0.513106681,19.50,335881,6.529609
ATHENS 2004,1,0,0,1,,OLYMPICS,SONY,EUROCOM DEVELOPMENTS,SPORTS,MULTIPLE/OTHER SPORTS,2004-07-01,2004,7,E,NO,64.90000153,40.00,0,0,0,1,0,9,82933,3.28413,0.904949608,38.00,95392,3.629075
ATV OFF ROAD FURY,1,0,0,1,ATV OFF ROAD FURY,,SONY,RAINBOW STUDIOS,RACING,ACTION ORIENTED RACING,2001-02-01,2001,2,E,NO,83.19999695,50.00,0,0,0,23,0,4,581454,25.795424,0.5250388,29.00,1688361,49.13051
ATV OFF ROAD FURY 2,1,0,0,1,ATV OFF ROAD FURY,,SONY,RAINBOW STUDIOS,RACING,ACTION ORIENTED RACING,2002-11-01,2002,11,E,YES,81.59999847,40.00,25.795424,25.795424,0,15,1,28,1067768,40.319544,0.826867086,34.00,1421288,48.76182
ATV OFF ROAD FURY 3,1,0,0,1,ATV OFF ROAD FURY,,SONY,CLIMAX GROUP,RACING,ACTION ORIENTED RACING,2004-11-01,2004,11,E,YES,,39.00,40.319544,66.114968,0,10,2,62,318323,12.56623,0.766567741,39.00,416443,16.39285
ATV QUAD POWER RACE 2,3,1,1,1,ATV QUAD POWER,,ACCLAIM,CLIMAX GROUP,RACING,ACTION ORIENTED RACING,2003-01-01,2003,1,E,NO,71.79999797,24.33,0,0,0,54,0,67,467890,11.49190163,0.730910392,22.33,702235,15.722723
AUTO MODELLISTA,3,1,1,1,,,CAPCOM USA,CAPCOM,RACING,ACTION ORIENTED RACING,2003-03-01,2003,1,E,NO,62.60000102,39.33,0,0,0,48,0,88,139749,5.87761975,0.92373314,35.00,168205,6.362898
AZURIK: RISE PERATHIA,1,0,1,0,,,MICROSOFT,ADRENIUM GAMES,ADVENTURE,GENERAL ADVENTURE,2001-11-01,2001,11,T,NO,53.70000076,49.00,0,0,0,1,0,0,123416,5.3695805,0.940308592,41.00,139083,5.710445
BACKYARD BASEBALL,2,1,0,1,BACKYARD SPORTS,MAJOR LEAGUE BASEBALL (MLB),ATARI,HUMONGOUS ENTERTAINMENT,CHILDREN'S,CHILDREN'S GAMES,2003-03-01,2003,3,E,NO,70.15000153,27.50,8.8897375,8.8897375,0,9,2,15,236913,6.50608775,0.907612001,26.50,271764,7.168358
BACKYARD BASKETBALL,1,0,0,1,BACKYARD SPORTS,NATL BASKETBALL ASSOC,ATARI,SOLWORKS,CHILDREN'S,CHILDREN'S GAMES,2003-10-01,2003,10,E,NO,72.59999847,29.00,0,0,0,4,0,5,203421,5.3359635,0.91989125,26.00,227393,5.800646
BACKYARD FOOTBALL,1,1,0,0,BACKYARD SPORTS,NATL FOOTBALL LEAGUE,ATARI,LEFT FIELD PRODUCTIONS,CHILDREN'S,CHILDREN'S GAMES,2002-10-01,2002,10,E,NO,65.19999695,49.00,0,0,0,4,0,0,123983,3.553774,0.834882255,26.00,162229,4.256617
BACKYARD WRESTLING,2,0,1,1,BACKYARD WRESTLING,,EIDOS INTERACTIVE,PARADOX DEVELOPMENT,FIGHTING,WRESTLING,2003-10-01,2003,10,M,NO,53.85000038,49.00,0,0,0,5,0,7,268866,11.47544675,0.941463726,38.50,311002,12.188942
BACKYARD WRESTLING 2,2,0,1,1,BACKYARD WRESTLING,,EIDOS INTERACTIVE,PARADOX DEVELOPMENT,FIGHTING,WRESTLING,2004-11-01,2004,11,M,NO,48.04999924,48.50,11.47544675,11.47544675,0,4,2,14,31065,1.498134,0.497160663,29.00,102438,3.01338
BAD BOYS: MIAMI TAKEDOWN,3,1,1,1,,OTHER,CRAVE,BLITZ GAMES,ACTION,GENERAL ACTION,2004-09-01,2004,9,M,NO,39.23333232,15.67,0,0,0,76,0,179,210758,2.540597,0.555315801,14.33,369115,4.575049
BALDUR'S GATE: ALLIANCE,3,1,1,1,BALDUR'S GATE,,INTERPLAY PRODUCTIONS,HIGH VOLTAGE SOFTWARE,RPG,RPG,2001-12-01,2001,10,T,NO,82.23333232,50.33,0,0,0,20,0,4,430033,15.93015488,0.771343286,27.33,693334,20.652484
BALDURS GATE: DARK ALLIANCE II,2,0,1,1,BALDUR'S GATE,,INTERPLAY PRODUCTIONS,SNOWBLIND STUDIOS,RPG,RPG,2004-01-01,2004,1,T,NO,79.90000153,47.50,14.3560945,14.3560945,0,28,2,58,390126,18.549627,0.969100434,47.00,410191,19.141078
BARBARIAN,1,0,0,1,,,TITUS INTERACTIVE,SAFFIRE,FIGHTING,FIGHT/HEAD TO HEAD,2002-06-01,2002,6,T,NO,68.30000305,42.00,0,0,0,9,0,7,43463,1.660217,0.859361598,34.00,56908,1.931919
BARBIE HORSE ADVENTURES: WILD HO,2,0,1,1,BARBIE,BARBIE,VIVENDI UNIVERSAL,BLITZ GAMES,CHILDREN'S,CHILDREN'S GAMES,2003-11-01,2003,11,E,NO,40.29999924,44.50,0,0,0,6,0,6,169210,5.931950125,0.89928842,32.50,201425,6.596271
BASS FISHING DUEL,1,0,0,1,BASS MASTER,,SEGA OF AMERICA,WOW ENTERTAINMENT,SPORTS,FISHING,2002-09-01,2002,9,E,NO,67.80000305,49.00,0,0,0,2,0,1,34872,1.582424,0.716343697,33.00,66502,2.209029
BASS STRIKE,1,0,0,1,,,THQ,PAI,SPORTS,FISHING,2001-09-01,2001,9,E,NO,55.70000076,43.00,0,0,0,0,0,0,87716,3.12182575,0.839587313,34.00,109655,3.718286
BATEN KAITOS: ETERNAL,1,1,0,0,,,NAMCO,MONOLITH PRODUCTION,RPG,RPG,2004-11-01,2004,11,T,NO,82.30000305,48.00,0,0,0,12,0,12,59951,2.904808,0.612915586,43.00,109691,4.739328
BATMAN DARK TOMORROW,2,1,1,0,BATMAN,BATMAN,KEMCO AMERICA,KEMCO,ACTION,GENERAL ACTION,2003-03-01,2003,3,T,NO,28.35000038,27.50,7.1391725,7.1391725,2,53,2,42,79770,2.04433525,0.818393398,21.50,114901,2.497986
BATMAN VENGEANCE,3,1,1,1,BATMAN,BATMAN,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,2001-10-01,2001,10,T,NO,70.03333282,50.33,0,0,0,17,0,0,353305,14.7403855,0.891805874,37.67,445552,16.528693
BATMAN: RISE OF SIN TZU,3,1,1,1,BATMAN,BATMAN,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,2003-10-01,2003,10,T,NO,61.90000025,26.00,14.7403855,14.7403855,2,84,3,92,190722,4.24123575,0.868516768,20.67,228321,4.883309
BATTLE ASSAULT 3,1,0,0,1,GUNDAM,GUNDAM,BANDAI,NATSUME,FIGHTING,FIGHT/HEAD TO HEAD,2004-12-01,2004,12,T,NO,54.09999847,40.00,1.629948,14.876083,1,17,4,26,5862,0.233465,0.46715143,40.00,12552,0.499763
BATTLE ENGINE AQUILA,2,0,1,1,,,ATARI,LOST TOYS,SHOOTER,1ST PERSON SHOOTER,2003-01-01,2003,1,T,NO,74.20000076,37.50,0,0,0,18,0,27,18445,0.6805095,0.905183216,34.50,22642,0.751792
BATTLESTAR GALACTICA,2,0,1,1,,BATTLESTAR GALACTICA,VIVENDI UNIVERSAL,WARTHOG,FLIGHT,SPACE COMBAT SIMULATIONS,2003-11-01,2003,11,T,NO,65.95000076,50.00,0,0,0,0,0,9,80013,2.947932,0.885812047,34.00,99139,3.327943
BEACH SPIKERS,1,1,0,0,,,SEGA OF AMERICA,AM2,SPORTS,MULTIPLE/OTHER SPORTS,2002-08-01,2002,8,E,NO,76.59999847,48.00,0,0,0,2,0,0,50560,1.598576,0.858172815,28.00,66804,1.862767
BEYBLADE:SUPER TRNMNT,1,1,0,0,BEYBLADE,BEYBLADE,ATARI,INFOGRAMES,FIGHTING,FIGHT/HEAD TO HEAD,2003-09-01,2003,9,E,NO,44.79999924,30.00,0,0,0,3,0,7,115792,3.14055425,0.887582942,26.00,134908,3.538322
BEYOND GOOD & EVIL,3,1,1,1,,,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,2003-11-01,2003,11,T,NO,87.60000102,41.33,0,0,0,84,0,92,197459,4.613689875,0.921197181,23.00,227369,5.008363
BICYCLE CASINO 2005,1,0,1,0,BICYCLE,,ACTIVISION,LEAPING LIZARD SOFTWARE,FAMILY,CARD GAMES,2004-10-01,2004,10,E,YES,51.20000076,29.00,0,0,0,1,0,0,69402,2.004911,0.611747414,26.00,124398,3.277351
BIG AIR FREESTYLE,1,1,0,0,BIG AIR,,ATARI,PARADIGM ENTERTAINMENT,SPORTS,EXTREME SPORTS,2002-09-01,2002,9,T,NO,54.40000153,39.00,0,0,0,11,0,3,14876,0.350527,0.573170492,21.00,29539,0.611558
BIG MUTHA TRUCKERS,3,1,1,1,,,THQ,EUTECHNYX,RACING,ACTION ORIENTED RACING,2003-06-01,2003,6,T,NO,64.63333384,20.00,0,0,0,54,0,67,441859,8.6788575,0.908009035,19.33,493014,9.558118
BILLY HATCHER,1,1,0,0,,,SEGA OF AMERICA,SONIC TEAM,ACTION,PLATFORM/SCROLLING CHARACTER,2003-09-01,2003,9,E,NO,72.30000305,39.00,0,0,0,17,0,17,149730,5.229775,0.927316698,34.00,168288,5.639686
BIONICLE,3,1,1,1,BIONICLE,LEGO: BIONICLE,ELECTRONIC ARTS,ARGONAUT SOFTWARE,ACTION,GENERAL ACTION,2003-10-01,2003,10,E,NO,44.76666641,39.67,0,0,0,84,0,92,268386,8.092588938,0.876075129,29.00,323967,9.237323
BLACK & BRUISED,2,1,0,1,,,MAJESCO,DIGITAL FICTION,SPORTS,BOXING,2003-01-01,2003,1,T,NO,64.84999847,28.50,0,0,0,0,0,8,52402,1.5100425,0.760887694,21.00,90710,1.98458
BLACK STONE: MAGIC,1,0,1,0,,,XICAT INTERACTIVE,IDEA FACTORY,ACTION,GENERAL ACTION,2003-03-01,2003,3,T,NO,55.90000153,48.00,0,0,0,33,0,24,17072,0.810589,0.870316189,45.00,20638,0.931373
BLADE 2,2,0,1,1,BLADE,OTHER,ACTIVISION,MUCKY FOOT,ACTION,GENERAL ACTION,2002-09-01,2002,9,M,NO,55.39999962,48.50,0,0,0,55,0,17,174508,7.127207,0.935592368,37.50,199015,7.617855
BLINX 2: MASTERS TIME,1,0,1,0,BLINX,,MICROSOFT,ARTOON,ACTION,PLATFORM/SCROLLING CHARACTER,2004-11-01,2004,11,E,NO,70.19999695,39.00,0,0,0,12,0,22,21683,0.852618,0.462963184,26.00,71061,1.841654
BLINX: TIME SWEEPER,1,0,1,0,,,MICROSOFT,ARTOON,ACTION,PLATFORM/SCROLLING CHARACTER,2002-10-01,2002,10,E,NO,73,47.00,0,0,0,9,0,2,233497,7.569739,0.857759238,29.00,304048,8.825016
BLOOD OMEN 2,3,1,1,1,LEGACY OF KAIN,,EIDOS INTERACTIVE,CRYSTAL DYNAMICS,ADVENTURE,GENERAL ADVENTURE,2002-03-01,2002,3,M,NO,70.83333333,43.33,8.72236,8.72236,0,20,1,9,260808,10.902891,0.940465108,33.33,301563,11.593084
BLOOD WAKE,1,0,1,0,,,MICROSOFT,STORMFRONT STUDIOS,SHOOTER,MECHANIZED SHOOTER,2001-12-01,2001,12,T,NO,70.19999695,50.00,0,0,0,0,0,0,259793,10.767751,0.883567948,36.00,335718,12.18667
BLOOD WILL TELL,1,0,0,1,,,SEGA OF AMERICA,WOW ENTERTAINMENT,ACTION,GENERAL ACTION,2004-09-01,2004,9,M,NO,69.90000153,40.00,0,0,0,40,0,82,5804,0.230974,0.556718127,29.00,14400,0.414885
